voterbase_id,vf_reg_state,vf_county_name,vf_county_code,vf_reg_zip,vf_reg_city,vf_reg_address1,vf_reg_address2,vf_cd,vf_voter_status,tsmart_first_name,tsmart_middle_name,tsmart_last_name,vf_g2018,vf_g2020,vf_early_voter_status,vf_reg_cass_state,vf_precinct_name
TS009000000,GA,BIBB,13021,30919,MACON,6119 SYNTHETIC WAY,,08,ACTIVE,SYNTHETIC,Z.,SYNTHETIC,N,N,1,GA,BIB-171
TS009000001,GA,DEKALB,13089,30789,DECATUR,5793 TESTING DR,,14,ACTIVE,SAMPLE,,FIXTURE,N,N,,GA,DEK-137
TS009000002,GA,DEKALB,13089,30707,DECATUR,5843 MOCKUP LN,,08,ACTIVE,EXAMPLE,Z.,OUTPUT,N,Y,1,GA,DEK-131
TS009000003,GA,RICHMOND,13245,30632,AUGUSTA,4757 MOCKUP LN,,08,INACTIVE,EXAMPLE,,TESTRECORD,Y,N,0,GA,RIC-088
TS009000004,GA,BIBB,13021,30377,MACON,7864 MOCKUP LN,APT 29,10,INACTIVE,MOCKUP,X.,OUTPUT,Y,N,0,GA,BIB-035
TS009000005,GA,FULTON,13121,30371,ATLANTA,209 MOCKUP LN,,05,INACTIVE,DUMMY,T.,GENERATOR,,,0,GA,FUL-123
TS009000006,GA,RICHMOND,13245,30664,AUGUSTA,615 TESTING DR,,09,ACTIVE,EXAMPLE,Z.,OUTPUT,N,,1,GA,RIC-128
TS009000007,GA,CHATHAM,13051,30618,SAVANNAH,3380 FICTIONAL AVE,APT 18,10,INACTIVE,DUMMY,T.,OUTPUT,,,,GA,CHA-170
TS009000008,GA,CHATHAM,13051,30351,SAVANNAH,4669 TESTING DR,APT 11,11,ACTIVE,EXAMPLE,Q.,FAKEROW,N,N,1,GA,CHA-124
TS009000009,GA,CLARKE,13059,30520,ATHENS,3603 TESTING DR,APT 11,03,ACTIVE,TESTING,T.,EXAMPLE,Y,N,1,GA,CLA-183
TS009000010,GA,DEKALB,13089,30157,DECATUR,4145 SYNTHETIC WAY,,14,INACTIVE,SAMPLE,X.,PLACEHOLDER,Y,Y,1,GA,DEK-191
TS009000011,GA,CLARKE,13059,30949,ATHENS,628 SYNTHETIC WAY,,07,INACTIVE,EXAMPLE,Z.,NOTREAL,Y,N,0,GA,CLA-088
TS009000012,GA,FULTON,13121,30235,ATLANTA,1372 TESTING DR,,11,ACTIVE,TESTING,Q.,FIXTURE,,N,0,GA,FUL-113
TS009000013,GA,RICHMOND,13245,30442,AUGUSTA,1025 TESTING DR,,02,INACTIVE,EXAMPLE,,OUTPUT,,N,0,GA,RIC-096
TS009000014,GA,DEKALB,13089,30987,DECATUR,3057 TESTING DR,,11,ACTIVE,PLACEHOLDER,X.,TESTRECORD,Y,Y,1,GA,DEK-178
TS009000015,GA,MUSCOGEE,13215,30961,COLUMBUS,1119 IMAGINARY ST,,14,INACTIVE,SPECIMEN,T.,GENERATOR,Y,,1,GA,MUS-114
TS009000016,GA,BIBB,13021,30892,MACON,3133 EXAMPLE BLVD,,05,ACTIVE,PLACEHOLDER,Q.,EXAMPLE,Y,Y,,GA,BIB-118
TS009000017,GA,CHATHAM,13051,30906,SAVANNAH,647 SPECIMEN CT,APT 23,10,INACTIVE,TESTING,Q.,OUTPUT,,,,GA,CHA-100
TS009000018,GA,CHATHAM,13051,30793,SAVANNAH,4030 PLACEHOLDER RD,APT 26,01,INACTIVE,STAND-IN,Q.,TESTRECORD,Y,N,1,GA,CHA-086
TS009000019,GA,CHATHAM,13051,30310,SAVANNAH,9428 IMAGINARY ST,,11,ACTIVE,SYNTHETIC,Z.,OUTPUT,Y,Y,1,GA,CHA-049
TS009000020,GA,CHATHAM,13051,30967,SAVANNAH,21 SYNTHETIC WAY,,10,ACTIVE,FIXTURE,X.,PLACEHOLDER,,Y,0,GA,CHA-138
TS009000021,GA,FULTON,13121,30709,ATLANTA,2658 PLACEHOLDER RD,,05,ACTIVE,TESTING,Q.,FAKEROW,,,1,GA,FUL-049
TS009000022,GA,DEKALB,13089,30452,DECATUR,984 SYNTHETIC WAY,,03,INACTIVE,FIXTURE,X.,PLACEHOLDER,N,N,0,GA,DEK-161
TS009000023,GA,CLARKE,13059,30712,ATHENS,610 IMAGINARY ST,,11,INACTIVE,STAND-IN,X.,FAKEROW,,N,,GA,CLA-069
TS009000024,GA,DEKALB,13089,30651,DECATUR,3854 MOCKUP LN,,11,INACTIVE,SAMPLE,Z.,DONOTSHIP,,Y,1,GA,DEK-120
TS009000025,GA,FULTON,13121,30755,ATLANTA,946 MOCKUP LN,,07,INACTIVE,DUMMY,Q.,EXAMPLE,Y,,,GA,FUL-056
TS009000026,GA,MUSCOGEE,13215,30675,COLUMBUS,1591 TESTING DR,APT 9,11,INACTIVE,STAND-IN,Q.,GENERATOR,,Y,0,GA,MUS-056
TS009000027,GA,FULTON,13121,30659,ATLANTA,9395 FICTIONAL AVE,APT 9,03,ACTIVE,SAMPLE,X.,PLACEHOLDER,Y,Y,0,GA,FUL-060
TS009000028,GA,CHATHAM,13051,30630,SAVANNAH,6648 SPECIMEN CT,APT 19,13,ACTIVE,SYNTHETIC,Q.,TESTRECORD,,Y,,GA,CHA-046
TS009000029,GA,CLARKE,13059,30324,ATHENS,2276 PLACEHOLDER RD,APT 45,09,INACTIVE,FIXTURE,,NOTREAL,Y,Y,1,GA,CLA-012
TS009000030,GA,DEKALB,13089,30418,DECATUR,3666 SYNTHETIC WAY,,05,INACTIVE,SPECIMEN,,EXAMPLE,N,Y,1,GA,DEK-039
TS009000031,GA,CLARKE,13059,30889,ATHENS,2154 PLACEHOLDER RD,APT 14,01,ACTIVE,PLACEHOLDER,Q.,TESTRECORD,,N,1,GA,CLA-085
TS009000032,GA,FULTON,13121,30611,ATLANTA,9 MOCKUP LN,,01,INACTIVE,SPECIMEN,X.,SYNTHETIC,,,0,GA,FUL-098
