County_code,Registration_Number,Voter_status,Last_name,First_name,Middle_maiden_name,Name_suffix,Residence_house_number,Residence_street_name,Residence_street_suffix,Residence_apt_unit_nbr,Residence_city,Residence_zipcode,Year_of_Birth,Registration_date,Race,Gender,County_precinct_id,Date_last_voted,Land_district,Congressional_district
11,9000000,I,DoNotShip,Mockup,,,1679,Synthetic,Way,,Macon,30539,2001,19990115,HP,M,BIB-089,,12,9
106,9000001,I,TestRecord,Stand-In,,,7030,Mockup,Ln,,Columbus,30319,1957,20170720,WH,U,MUS-120,20230227,4,1
25,9000002,I,Placeholder,Sample,Q.,Sr,2211,Mockup,Ln,,Savannah,30449,2001,20090415,WH,F,CHA-004,20221012,9,5
29,9000003,I,Output,Testing,Q.,Jr,8176,Synthetic,Way,,Athens,30588,1981,20211102,BH,U,CLA-141,20200713,7,2
121,9000004,A,NotReal,Fixture,,,7175,Specimen,Ct,,Augusta,30563,1976,19980308,BH,M,RIC-097,20180727,5,1
44,9000005,I,Synthetic,Sample,Q.,,1770,Mockup,Ln,,Decatur,30312,1978,20060711,OT,U,DEK-174,20180726,26,12
60,9000006,A,Fixture,Fixture,Q.,,2168,Mockup,Ln,,Atlanta,30949,2001,20160805,OT,M,FUL-085,20190611,28,10
11,9000007,I,Output,Dummy,Q.,,6097,Mockup,Ln,,Macon,30475,1982,19961211,U,U,BIB-116,,22,9
44,9000008,A,Fixture,Specimen,Q.,,8361,Imaginary,St,Apt 7,Decatur,30814,1948,19931219,BH,U,DEK-048,20180218,24,9
44,9000009,A,TestRecord,Specimen,Q.,,6243,Example,Blvd,,Decatur,30712,1975,19920325,WH,M,DEK-196,,26,10
106,9000010,I,TestRecord,Example,Q.,,2007,Mockup,Ln,Apt 41,Columbus,30812,1989,20020308,AP,M,MUS-086,20190513,2,10
106,9000011,A,Output,Dummy,Q.,,1463,Example,Blvd,,Columbus,30118,1944,19980207,HP,F,MUS-187,20210501,18,1
29,9000012,A,FakeRow,Dummy,Q.,Jr,4817,Placeholder,Rd,,Athens,30766,1978,20221208,U,M,CLA-167,20230425,29,3
106,9000013,A,Output,Synthetic,Q.,,9793,Testing,Dr,,Columbus,30777,2003,20090727,OT,F,MUS-131,20231124,26,2
